date,team1,team2,winner
3/20/2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
3/21/2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers
3/21/2010,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
3/22/2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
3/23/2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
3/24/2010,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
3/25/2010,Mumbai Indians,Chennai Super Kings,Mumbai Indians
3/26/2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
3/27/2010,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
3/25/2010,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
3/28/2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
3/28/2010,Deccan Chargers,Mumbai Indians,Mumbai Indians
3/29/2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
3/30/2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians
3/31/2010,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
3/31/2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
4/1/2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
4/2/2010,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
4/3/2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
4/3/2010,Mumbai Indians,Deccan Chargers,Mumbai Indians
4/4/2010,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
4/4/2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
4/5/2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
4/6/2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
4/7/2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
4/7/2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
4/8/2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
4/9/2010,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
4/10/2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers
4/10/2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
4/11/2010,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
4/11/2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians
4/12/2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
4/13/2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians
4/13/2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
4/14/2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
4/15/2010,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
4/16/2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers
4/17/2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
4/17/2010,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
4/18/2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
4/18/2010,Delhi Daredevils,Deccan Chargers,Deccan Chargers
4/19/2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
4/21/2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
4/22/2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
4/24/2010,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
4/25/2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
4/8/2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
4/9/2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
4/9/2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
4/10/2011,Delhi Daredevils,Mumbai Indians,Mumbai Indians
4/10/2011,Pune Warriors,Kings XI Punjab,Pune Warriors
4/11/2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
4/12/2011,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
4/12/2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
4/13/2011,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
4/13/2011,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors
4/14/2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
4/15/2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
4/15/2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala
4/16/2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
4/16/2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
4/17/2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils
4/17/2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
4/18/2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala
4/19/2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers
4/20/2011,Mumbai Indians,Pune Warriors,Mumbai Indians
4/20/2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala
4/21/2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
4/22/2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians
4/22/2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
